Date,Entry,Close,P/L
2021-10-28,416.579987,458.320007,1.1001968920796954
2021-11-02,419.170013,461.899994,1.1019394987112305
2021-11-02,419.070007,461.899994,1.1022024632748295
2021-11-02,419.670013,461.899994,1.1006266344791236
2021-11-03,422.119995,464.720001,1.1009191853136453
2021-11-03,419.290009,464.720001,1.1083498080680478
2021-11-03,420.329987,464.720001,1.1056075354433372
2021-11-04,418.23999,466.910004,1.116368628451813
2021-11-04,422.600006,466.910004,1.1048509166372327
2021-11-04,424.309998,466.910004,1.1003983083141964
2021-11-05,420.040009,468.529999,1.1154413602538513
2021-11-05,423.109985,468.529999,1.107348007870814
2021-11-08,423.609985,468.929993,1.106985221323336
2021-11-16,425.100006,469.279999,1.1039284694811318
2021-11-18,426.609985,469.730011,1.1010759886456947
2021-12-27,428.640015,477.26001,1.1134285024696073
2021-12-27,433.619995,477.26001,1.1006411500927211
2021-12-28,433.100006,476.869995,1.1010620835687543
2022-07-28,365.859985,406.070007,1.1099054929442476
2022-07-29,373.869995,411.98999,1.1019605625212046
2022-07-29,374.390015,411.98999,1.10042996205441
2022-08-03,375.070007,414.450012,1.1049937458742203
2022-08-10,379.200012,419.98999,1.1075685039798995
2022-08-10,377.910004,419.98999,1.1113492248276124
2022-08-11,378.059998,419.98999,1.1109083008565217
2022-08-12,385.130005,427.100006,1.1089761910396985
2022-08-15,389.459991,428.859985,1.1011657035651705
2022-08-15,388.589996,428.859985,1.1036310492151733
2022-08-16,389.630005,429.700012,1.1028411736411317
2022-08-16,390.079987,429.700012,1.1015689764161112
2022-11-10,357.73999,394.690002,1.103287340059466
2022-11-10,357.630005,394.690002,1.103626643407619
2022-11-11,360.019989,398.51001,1.106910788778453
2022-11-14,356.559998,395.119995,1.1081444840035028
2022-11-30,366.609985,407.679993,1.1120264304857927
2022-11-30,365.970001,407.679993,1.1139710683554087
2022-12-01,366.820007,407.380005,1.110571935079866
2023-02-01,371.130005,410.799988,1.1068897218375
2023-02-01,371.01001,410.799988,1.1072477208903337
2023-02-02,377.390015,416.779999,1.1043747381604676
2023-02-02,377.970001,416.779999,1.1026801013237026
2023-02-02,378.869995,416.779999,1.1000607187169835
2023-02-02,374.869995,416.779999,1.1117987690639257
2023-02-02,376.660004,416.779999,1.1065151451546205
2023-02-03,374.220001,412.350006,1.1018919483141147
2023-02-07,377.089996,415.190002,1.1010369047287056
2023-02-07,376.350006,415.190002,1.1032017945550399
2023-05-18,379.980011,419.230011,1.1032949072681615
2023-05-18,380.019989,419.230011,1.1031788409424956
2023-05-18,380.720001,419.230011,1.1011504777759231
2023-05-19,379.950012,418.619995,1.1017765015888459
2023-05-19,380.540009,418.619995,1.1000682848041874
2023-05-26,381.399994,420.019989,1.1012585097208996
2023-06-01,383.269989,421.820007,1.1005818851107592
2023-06-02,388.549988,427.920013,1.1013255082123437
2023-06-02,386.230011,427.920013,1.107940866355929
2023-06-05,384.920013,427.100006,1.1095811897938392
2023-06-12,392.75,433.799988,1.104519383831954
2023-06-12,393.890015,433.799988,1.1013226319027152
2023-06-12,393.279999,433.799988,1.103030891738789
2023-06-12,392.109985,433.799988,1.1063222172217828
2023-06-13,392.339996,436.660004,1.1129632677062067
2023-06-13,396.920013,436.660004,1.1001209052162357
2023-06-13,396.380005,436.660004,1.1016196540993535
2023-06-13,394.73999,436.660004,1.1061965219181367
2023-06-13,396.48999,436.660004,1.1013140684837972
2023-06-14,397.369995,437.179993,1.1001837041067986
2023-06-14,396.26001,437.179993,1.1032654872239063
2023-06-14,395.600006,437.179993,1.1051061333907057
2023-06-15,398.170013,442.600006,1.1115854824557068
2023-06-15,401.720001,442.600006,1.1017624337803384
2023-06-15,397.779999,442.600006,1.11267536606334
2023-06-15,398.950012,442.600006,1.109412188713006
2023-06-15,399.399994,442.600006,1.1081622750349867
2023-06-15,397.809998,442.600006,1.1125914587998866
2023-06-15,398.269989,442.600006,1.111306445939616
2023-06-15,398.910004,442.600006,1.1095234553205138
2023-06-16,399.089996,439.459991,1.1011551164013642
2023-06-16,398.920013,439.459991,1.1016243273811386
2023-06-30,400.089996,443.279999,1.107950719667582
2023-06-30,400.380005,443.279999,1.107148192877414
2023-06-30,401.970001,443.279999,1.1027688581168522
2023-06-30,401.350006,443.279999,1.1044723866280444
2023-07-03,400.660004,443.790009,1.1076473932247053
2023-07-12,405.309998,446.019989,1.1004416155557062
2023-07-12,404.190002,446.019989,1.1034908998070665
2023-07-13,408.320007,449.559998,1.1009991925279332
2023-07-13,406.070007,449.559998,1.107099737115034
2023-07-13,406.600006,449.559998,1.1056566437925728
2023-07-13,404.470001,449.559998,1.1114792120269013
2023-07-18,411.339996,454.190002,1.104171747013874
2023-07-18,411.98999,454.190002,1.1024297022362122
2023-07-18,410.970001,454.190002,1.1051658293667035
2023-07-19,410.950012,455.200012,1.1076773298646356
2023-07-25,413.940002,455.440002,1.100256075275373
2023-07-28,415.26001,456.920013,1.1003226942079012
2023-07-28,415.230011,456.920013,1.100402188896698
2023-07-31,415.929993,457.790009,1.1006419751027667
2023-11-20,412.549988,454.26001,1.1011029528862817
2023-11-21,410.679993,453.269989,1.1037060405326344
2023-12-01,416.380005,459.100006,1.1025985889980476
2023-12-01,415.51001,459.100006,1.1049072102980142
2023-12-01,415.589996,459.100006,1.1046945557370924
2023-12-08,417.549988,460.200012,1.1021435162872044
2023-12-11,419.98999,461.98999,1.1000023833901376
2023-12-11,419.230011,461.98999,1.101996464656725
2023-12-11,418.200012,461.98999,1.1047106091426893
2023-12-12,420.070007,464.100006,1.1048158598954674
2023-12-12,419.98999,464.100006,1.105026350747074
2023-12-12,418.619995,464.100006,1.108642710676063
2023-12-12,421.820007,464.100006,1.1002323225507888
2023-12-13,421.950012,470.5,1.115060994476284
2023-12-13,425.480011,470.5,1.1058098802202014
2023-12-13,427.100006,470.5,1.1016155312346214
2023-12-13,420.179993,470.5,1.1197582175217942
2023-12-13,427.100006,470.5,1.1016155312346214
2023-12-13,426.549988,470.5,1.1030360174339051
2023-12-13,424.660004,470.5,1.107945169237082
2023-12-13,423.630005,470.5,1.1106389879064398
